[Step 1/500] loss=-0.03 reward_avg=0.125 tokens_per_sec=30.3 avg_response_len=38.4 adv_avg=0.00 adv_std=1.00 entropy_avg=1.27 policy_ratio=1.032
[Step 2/500] loss=-0.12 reward_avg=0.125 tokens_per_sec=38.4 avg_response_len=384.0 adv_avg=0.00 adv_std=1.00 entropy_avg=0.72 policy_ratio=2.145
[Step 3/500] loss=-1.72 reward_avg=0.250 tokens_per_sec=16.3 avg_response_len=23.2 adv_avg=0.00 adv_std=1.00 entropy_avg=0.89 policy_ratio=1.849
[Step 4/500] loss=-2.55 reward_avg=0.500 tokens_per_sec=21.4 avg_response_len=88.5 adv_avg=0.00 adv_std=1.00 entropy_avg=0.73 policy_ratio=3.141
[Step 5/500] loss=-0.30 reward_avg=0.125 tokens_per_sec=25.0 avg_response_len=342.9 adv_avg=0.00 adv_std=1.00 entropy_avg=0.16 policy_ratio=0.950
[Step 6/500] loss=-0.71 reward_avg=0.750 tokens_per_sec=24.6 avg_response_len=368.5 adv_avg=-0.00 adv_std=1.00 entropy_avg=0.14 policy_ratio=2.413
[Step 7/500] loss=-0.00 reward_avg=0.000 tokens_per_sec=20.5 avg_response_len=711.8 adv_avg=0.00 adv_std=0.00 entropy_avg=0.20 policy_ratio=1.801
[Step 8/500] loss=-0.00 reward_avg=1.000 tokens_per_sec=24.5 avg_response_len=230.5 adv_avg=0.00 adv_std=0.00 entropy_avg=0.09 policy_ratio=1.200
[Step 9/500] loss=-0.00 reward_avg=0.000 tokens_per_sec=26.9 avg_response_len=721.9 adv_avg=0.00 adv_std=0.00 entropy_avg=0.31 policy_ratio=1.454
[Step 10/500] loss=-0.00 reward_avg=0.000 tokens_per_sec=24.6 avg_response_len=441.9 adv_avg=0.00 adv_std=0.00 entropy_avg=0.12 policy_ratio=1.232
[Step 11/500] loss=-0.00 reward_avg=1.000 tokens_per_sec=23.5 avg_response_len=185.9 adv_avg=0.00 adv_std=0.00 entropy_avg=0.12 policy_ratio=1.069
[Step 12/500] loss=-0.00 reward_avg=0.000 tokens_per_sec=24.8 avg_response_len=407.5 adv_avg=0.00 adv_std=0.00 entropy_avg=0.06 policy_ratio=1.118
[Step 13/500] loss=-0.00 reward_avg=0.000 tokens_per_sec=25.3 avg_response_len=201.4 adv_avg=0.00 adv_std=0.00 entropy_avg=0.23 policy_ratio=1.247
[Step 14/500] loss=-0.00 reward_avg=1.000 tokens_per_sec=25.2 avg_response_len=259.8 adv_avg=0.00 adv_std=0.00 entropy_avg=0.09 policy_ratio=0.972
[Step 15/500] loss=-0.00 reward_avg=1.000 tokens_per_sec=23.7 avg_response_len=131.6 adv_avg=0.00 adv_std=0.00 entropy_avg=0.09 policy_ratio=0.971
[Step 16/500] loss=-1.02 reward_avg=0.500 tokens_per_sec=24.5 avg_response_len=280.0 adv_avg=0.00 adv_std=1.00 entropy_avg=0.13 policy_ratio=2.617
